"","X","...1","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"686",686,40,45895,"01_E_2",2177.4,2.832,6.725,6.725,"PHE",6.29485,5.77490909090707
"691",691,45,45896,"01_E_2",2177.8,2.931,6.906,6.906,"PHE",6.47585,5.83569090908905
"701",701,55,45898,"01_K_3",2177.8,2.001,7.331,7.331,"PHE",6.90085,6.02025454545301
"706",706,60,45899,"01_K_3",2181.3,1.927,7.502,7.502,"PHE",7.07185,6.071036363635
"711",711,65,45900,"01_K_3",2183.8,1.908,8.328,8.328,"PHE",7.89785,6.77681818181698
"716",716,70,45901,"98_W_2",2185.3,1.402,8.273,8.273,"PHE",7.84285,6.60159999999896
"721",721,75,45902,"98_W_2",2191.4,1.306,9.027,9.027,"PHE",8.59685,7.23538181818094
"726",726,80,45903,"98_W_2",2197,1.311,8.547,8.547,"PHE",8.11685,6.63516363636202
"736",736,90,45905,"98_K_2",2218.7,1.891,8.397,8.397,"PHE",7.96685,6.24472727272598
"741",741,95,45906,"98_K_2",2226.9,1.849,10.008,10.008,"PHE",9.57785,7.73550909090796
"746",746,100,45907,"98_K_2",2237.3,2.005,9.332,9.332,"PHE",8.90185,6.93929090908994
"776",776,20,45913,"98_E_2",2177.8,3.185,2.59,2.59,"PHE",2.15985,1.99690909090795
"781",781,25,45914,"98_E_2",2177.4,2.691,3.473,3.473,"PHE",3.04285,2.80656818181714
"786",786,30,45915,"98_E_2",2177.2,2.566,3.093,3.093,"PHE",2.66285,2.35322727272634
"791",791,35,45916,"10_W_2",2175.1,1.913,4.273,4.273,"PHE",3.84285,3.45988636363554
"796",796,40,45917,"10_W_2",2174.4,1.844,4.82,4.82,"PHE",4.38985,3.93354545454474
"801",801,45,45918,"10_W_2",2175.3,1.825,7.573,7.573,"PHE",7.14285,6.61320454545348
"811",811,55,45920,"04_K_2",2183.6,2.921,9.608,9.608,"PHE",9.17785,8.50152272727188
"816",816,60,45921,"04_K_2",2188,2.787,10.101,10.101,"PHE",9.67085,8.92118181818107
"821",821,65,45922,"04_K_2",2193.2,2.677,9.974,9.974,"PHE",9.54385,8.72084090909027
"826",826,70,45923,"01_E_3",2203.9,4.566,7.971,7.971,"PHE",7.54085,6.64449999999947
"831",831,75,45924,"01_E_3",2215,4.196,8.906,8.906,"PHE",8.47585,7.50615909090821
"836",836,80,45925,"01_E_3",2229.4,4.187,9.02,9.02,"PHE",8.58985,7.54681818181741
"846",846,90,45927,"13_K_2",2251.1,1.916,7.928,7.928,"PHE",7.49785,6.3081363636358
"851",851,95,45928,"13_K_2",2268.3,1.902,7.932,7.932,"PHE",7.50185,6.238795454545
"856",856,100,45929,"13_K_2",2276.8,1.68,6.997,6.997,"PHE",6.56685,5.2304545454542
"886",886,20,45935,"13_E_2",2174,2.177,2.556,2.556,"PHE",2.12585,2.18819545454335
"891",891,25,45936,"13_E_2",2174.6,1.978,1.903,1.903,"PHE",1.47285,1.44675028408872
"896",896,30,45937,"13_E_2",2178,1.809,1.647,1.647,"PHE",1.21685,1.10230511363454
"901",901,35,45938,"13_E_3",2178,2.922,2.693,2.693,"PHE",2.26285,2.05985994317991
"906",906,40,45939,"13_E_3",2178.2,2.804,4.538,4.538,"PHE",4.10785,3.81641477272527
"911",911,45,45940,"13_E_3",2178.4,2.716,4.989,4.989,"PHE",4.55885,4.17896960227109
